"indicator","geography_code","quintile","period","numerator","indicator_measure","lower_confidence_interval","upper_confidence_interval","definition","relative_inequality_gap","lower_confidence_interval_relative_ineq","upper_confidence_interval_relative_ineq","absolute_inequality_gap","lower_confidence_interval_absolute_ineq","upper_confidence_interval_absolute_ineq","population_attributable_risk"
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2005/06 to 2007/08 financial years; 3-year aggregates",196.7,479.6,412.6,554.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2005/06 to 2007/08 financial years; 3-year aggregates",147.7,358.2,300.1,423.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2005/06 to 2007/08 financial years; 3-year aggregates",138.3,358.6,298.6,426.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2005/06 to 2007/08 financial years; 3-year aggregates",71.7,194.7,148.8,249.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2005/06 to 2007/08 financial years; 3-year aggregates",68.3,181.6,139.3,232.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2005/06 to 2007/08 financial years; 3-year aggregates",622.7,309,284.1,335.4,"Age-sex standardised rate per 100,000",61.5,26.9,96.1,380.1,166.4,593.7,42.4
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2006/07 to 2008/09 financial years; 3-year aggregates",190,466.3,399.8,540.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2006/07 to 2008/09 financial years; 3-year aggregates",153,370.3,310.7,437.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2006/07 to 2008/09 financial years; 3-year aggregates",138.7,348,289.9,414,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2006/07 to 2008/09 financial years; 3-year aggregates",69,186.5,141.9,239.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2006/07 to 2008/09 financial years; 3-year aggregates",64.7,169,129,217.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2006/07 to 2008/09 financial years; 3-year aggregates",615.3,304.1,279.5,330.2,"Age-sex standardised rate per 100,000",64,33.8,94.2,389.3,205.4,573.1,45.4
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2007/08 to 2009/10 financial years; 3-year aggregates",185,449.5,384.6,521.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2007/08 to 2009/10 financial years; 3-year aggregates",156,372.7,313.9,438.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2007/08 to 2009/10 financial years; 3-year aggregates",123.3,296.9,244.5,356.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2007/08 to 2009/10 financial years; 3-year aggregates",69.7,181.2,138.4,232.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2007/08 to 2009/10 financial years; 3-year aggregates",62,160,121.4,206.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2007/08 to 2009/10 financial years; 3-year aggregates",596,289.3,265.6,314.4,"Age-sex standardised rate per 100,000",66.7,46.9,86.6,385.9,271.1,500.7,45.7
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2008/09 to 2010/11 financial years; 3-year aggregates",187.7,447.3,383.2,518.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2008/09 to 2010/11 financial years; 3-year aggregates",153,361.2,304.1,425.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2008/09 to 2010/11 financial years; 3-year aggregates",115.7,268.1,219.8,323.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2008/09 to 2010/11 financial years; 3-year aggregates",68.3,171.1,131.5,218.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2008/09 to 2010/11 financial years; 3-year aggregates",63,161.7,123,208.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2008/09 to 2010/11 financial years; 3-year aggregates",587.7,280.3,257.4,304.7,"Age-sex standardised rate per 100,000",68.3,43.1,93.5,382.7,241.5,524,43.2
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2009/10 to 2011/12 financial years; 3-year aggregates",187.3,429.7,368.2,498.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2009/10 to 2011/12 financial years; 3-year aggregates",148.3,341.9,287.1,403.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2009/10 to 2011/12 financial years; 3-year aggregates",105.7,239.4,194.3,291.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2009/10 to 2011/12 financial years; 3-year aggregates",67,163.8,125.7,209.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2009/10 to 2011/12 financial years; 3-year aggregates",61,153.5,116.2,198.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2009/10 to 2011/12 financial years; 3-year aggregates",569.3,265.2,243.1,288.6,"Age-sex standardised rate per 100,000",69.4,40.9,97.9,367.8,216.6,519,42.8
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2010/11 to 2012/13 financial years; 3-year aggregates",195.7,435.2,374.3,503,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2010/11 to 2012/13 financial years; 3-year aggregates",150.7,344.3,289,406.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2010/11 to 2012/13 financial years; 3-year aggregates",115,260,212.8,314.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2010/11 to 2012/13 financial years; 3-year aggregates",71.7,175.2,135.5,222.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2010/11 to 2012/13 financial years; 3-year aggregates",62.3,156.9,119.2,202.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2010/11 to 2012/13 financial years; 3-year aggregates",595.3,274.6,252.2,298.3,"Age-sex standardised rate per 100,000",66.4,44.7,88.2,364.9,245.7,484.1,43.4
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2011/12 to 2013/14 financial years; 3-year aggregates",207,451.4,389.6,519.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2011/12 to 2013/14 financial years; 3-year aggregates",147.7,334.3,279.9,395.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2011/12 to 2013/14 financial years; 3-year aggregates",123.7,281.4,232.1,337.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2011/12 to 2013/14 financial years; 3-year aggregates",79.3,194.4,152.3,244.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2011/12 to 2013/14 financial years; 3-year aggregates",67.3,169.1,129.8,216.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2011/12 to 2013/14 financial years; 3-year aggregates",625,286.8,263.9,311.1,"Age-sex standardised rate per 100,000",61.8,39.7,84,354.6,227.5,481.6,41.5
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2012/13 to 2014/15 financial years; 3-year aggregates",195.7,433.9,372.9,501.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2012/13 to 2014/15 financial years; 3-year aggregates",150.3,344.1,288.1,407.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2012/13 to 2014/15 financial years; 3-year aggregates",117.3,272.8,223.6,329.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2012/13 to 2014/15 financial years; 3-year aggregates",84.7,206.9,163.3,258.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2012/13 to 2014/15 financial years; 3-year aggregates",72.3,176.1,136.5,223.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2012/13 to 2014/15 financial years; 3-year aggregates",620.3,285.9,262.8,310.3,"Age-sex standardised rate per 100,000",57.3,41,73.6,327.4,234.2,420.7,39
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2013/14 to 2015/16 financial years; 3-year aggregates",184.3,414.4,354.4,481.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2013/14 to 2015/16 financial years; 3-year aggregates",148.7,335.3,280.6,397.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2013/14 to 2015/16 financial years; 3-year aggregates",107.7,246.1,199.6,299.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2013/14 to 2015/16 financial years; 3-year aggregates",88.3,207.1,164.1,257.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2013/14 to 2015/16 financial years; 3-year aggregates",74.3,175.4,136.4,221.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2013/14 to 2015/16 financial years; 3-year aggregates",603.3,273.4,251.1,297.1,"Age-sex standardised rate per 100,000",55.5,34,77,303.5,186,421,36.5
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2014/15 to 2016/17 financial years; 3-year aggregates",169,389,330.6,454.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2014/15 to 2016/17 financial years; 3-year aggregates",154.3,351.5,295.1,415,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2014/15 to 2016/17 financial years; 3-year aggregates",101,227.6,183.3,279,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2014/15 to 2016/17 financial years; 3-year aggregates",84,188.4,148.4,235.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2014/15 to 2016/17 financial years; 3-year aggregates",70.3,161,124.5,204.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2014/15 to 2016/17 financial years; 3-year aggregates",578.7,260.5,238.9,283.6,"Age-sex standardised rate per 100,000",59.3,30.8,87.7,308.9,160.7,457.1,38.9
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2015/16 to 2017/18 financial years; 3-year aggregates",173,397.2,338.4,463,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2015/16 to 2017/18 financial years; 3-year aggregates",159,361.7,304.7,425.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2015/16 to 2017/18 financial years; 3-year aggregates",108,240.1,194.9,292.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2015/16 to 2017/18 financial years; 3-year aggregates",79.7,175,136.9,220.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2015/16 to 2017/18 financial years; 3-year aggregates",69.3,154.8,119.6,196.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2015/16 to 2017/18 financial years; 3-year aggregates",589,262.2,240.6,285.1,"Age-sex standardised rate per 100,000",63.9,35.8,92.1,335.1,187.5,482.7,41.7
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2016/17 to 2018/19 financial years; 3-year aggregates",167.7,386.8,328.8,451.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2016/17 to 2018/19 financial years; 3-year aggregates",154.7,356,299.1,420.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2016/17 to 2018/19 financial years; 3-year aggregates",106,240.7,195.4,293,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2016/17 to 2018/19 financial years; 3-year aggregates",71.7,160,123.5,203.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2016/17 to 2018/19 financial years; 3-year aggregates",72,159.3,123.9,201.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2016/17 to 2018/19 financial years; 3-year aggregates",572,256.6,235.3,279.3,"Age-sex standardised rate per 100,000",63.3,30.2,96.3,324.8,155.2,494.4,38.7
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2017/18 to 2019/20 financial years; 3-year aggregates",165,377.8,320.7,441.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2017/18 to 2019/20 financial years; 3-year aggregates",151,351.8,294.7,416.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2017/18 to 2019/20 financial years; 3-year aggregates",105,234.9,190.6,286.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2017/18 to 2019/20 financial years; 3-year aggregates",71.3,161.8,124.9,205.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2017/18 to 2019/20 financial years; 3-year aggregates",76,167.3,131.2,210.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2017/18 to 2019/20 financial years; 3-year aggregates",568.3,253.6,232.5,276,"Age-sex standardised rate per 100,000",60,24.6,95.5,304.4,124.6,484.2,35.1
"Psychiatric patient hospitalisations","S12000034","1 - most deprived","2002/03 to 2004/05 financial years; 3-year aggregates",146,340.5,285.7,402.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","2","2002/03 to 2004/05 financial years; 3-year aggregates",128,304,251.5,363.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","3","2002/03 to 2004/05 financial years; 3-year aggregates",97.3,244.5,195.8,301.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","4","2002/03 to 2004/05 financial years; 3-year aggregates",93.7,241.1,191.2,299.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","5 - least deprived","2002/03 to 2004/05 financial years; 3-year aggregates",83.3,244.3,186.7,312.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","Total","2002/03 to 2004/05 financial years; 3-year aggregates",548.3,273.8,250,299.2,"Age-sex standardised rate per 100,000",23.2,1.6,44.8,127.2,8.9,245.5,11
"Psychiatric patient hospitalisations","S12000034","1 - most deprived","2003/04 to 2005/06 financial years; 3-year aggregates",145.3,329.4,276.6,389,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","2","2003/04 to 2005/06 financial years; 3-year aggregates",116,271.7,222.4,328.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","3","2003/04 to 2005/06 financial years; 3-year aggregates",98,234.5,188.6,287.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","4","2003/04 to 2005/06 financial years; 3-year aggregates",85.3,207.1,163.1,258.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","5 - least deprived","2003/04 to 2005/06 financial years; 3-year aggregates",85.7,243.9,188.6,308.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","Total","2003/04 to 2005/06 financial years; 3-year aggregates",530.3,256.7,234.2,280.6,"Age-sex standardised rate per 100,000",22.9,-8.6,54.5,117.8,-44.1,279.6,5.1
"Psychiatric patient hospitalisations","S12000034","1 - most deprived","2004/05 to 2006/07 financial years; 3-year aggregates",148,328.1,276.1,386.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","2","2004/05 to 2006/07 financial years; 3-year aggregates",109.7,252.9,205.5,307.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","3","2004/05 to 2006/07 financial years; 3-year aggregates",101.7,240.8,194.4,294.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","4","2004/05 to 2006/07 financial years; 3-year aggregates",84.3,202.6,159.1,253.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","5 - least deprived","2004/05 to 2006/07 financial years; 3-year aggregates",86.3,235.9,184.6,296.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","Total","2004/05 to 2006/07 financial years; 3-year aggregates",530,251.7,229.7,275.1,"Age-sex standardised rate per 100,000",23.4,-8.9,55.7,117.6,-44.9,280.1,6.3
"Psychiatric patient hospitalisations","S12000034","1 - most deprived","2005/06 to 2007/08 financial years; 3-year aggregates",147,319.9,269.1,377.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","2","2005/06 to 2007/08 financial years; 3-year aggregates",108.3,246.5,200.3,299.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","3","2005/06 to 2007/08 financial years; 3-year aggregates",98,229.5,184.3,281.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","4","2005/06 to 2007/08 financial years; 3-year aggregates",80.3,191.2,149.4,240.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","5 - least deprived","2005/06 to 2007/08 financial years; 3-year aggregates",86.7,234.6,184.2,293.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","Total","2005/06 to 2007/08 financial years; 3-year aggregates",520.3,243.4,222.1,266.2,"Age-sex standardised rate per 100,000",23.4,-13.3,60,113.7,-64.8,292.3,3.9
"Psychiatric patient hospitalisations","S12000034","1 - most deprived","2006/07 to 2008/09 financial years; 3-year aggregates",150,319.1,268.8,376,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","2","2006/07 to 2008/09 financial years; 3-year aggregates",108.7,235.8,192.3,286,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","3","2006/07 to 2008/09 financial years; 3-year aggregates",103.3,235.7,190.5,287.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","4","2006/07 to 2008/09 financial years; 3-year aggregates",80,190.1,148.4,239.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","5 - least deprived","2006/07 to 2008/09 financial years; 3-year aggregates",81.3,209.3,164.6,262,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","Total","2006/07 to 2008/09 financial years; 3-year aggregates",523.3,237.2,216.6,259.3,"Age-sex standardised rate per 100,000",28.1,-3.5,59.8,133.4,-16.8,283.7,12.1
"Psychiatric patient hospitalisations","S12000034","1 - most deprived","2007/08 to 2009/10 financial years; 3-year aggregates",141.3,292,245,345.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","2","2007/08 to 2009/10 financial years; 3-year aggregates",103.7,221.4,179.5,269.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","3","2007/08 to 2009/10 financial years; 3-year aggregates",97.3,219.7,175.9,270.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","4","2007/08 to 2009/10 financial years; 3-year aggregates",84,201.8,158,253.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000034","5 - least deprived","2007/08 to 2009/10 financial years; 3-year aggregates",81.3,204.1,160.1,256,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
